Year, Naive_Seed_Acc    , Naive_Seed_F1     , Naive_Seed_Prec   , Naive_Seed_Rec    , Naive_LogReg_Acc  , Naive_LogReg_F1   , Naive_LogReg_Prec , Naive_LogReg_Rec  , LR_Acc            , LR_F1             , LR_Prec           , LR_Rec            , SVC_Acc           , SVC_F1            , SVC_Prec          , SVC_Rec           , KNN_Acc           , KNN_F1            , KNN_Prec          , KNN_Rec           , RF_Acc            , RF_F1             , RF_Prec           , RF_Rec
2012, 0.7166666666666667, 0.6857142857142856, 0.7435992578849722, 0.7166666666666667, 0.7               , 0.6788189987163029, 0.7031055900621117, 0.7               , 0.85              , 0.8511508951406649, 0.8565656565656565, 0.85              , 0.85              , 0.8511508951406649, 0.8565656565656565, 0.85              , 0.6833333333333333, 0.6643874643874644, 0.6799999999999999, 0.6833333333333333, 0.7333333333333333, 0.7245421245421245, 0.7317460317460317, 0.7333333333333333
2013, 0.6666666666666666, 0.6458333333333334, 0.6666666666666666, 0.6666666666666666, 0.6833333333333333, 0.6525018994898513, 0.7013888888888888, 0.6833333333333333, 0.85              , 0.8503836317135549, 0.8512443438914027, 0.85              , 0.85              , 0.8482949577382686, 0.8510765550239234, 0.85              , 0.6833333333333333, 0.6719520789288231, 0.6805555555555555, 0.6833333333333333, 0.6833333333333333, 0.6666152104559021, 0.684185606060606 , 0.6833333333333333
2014, 0.6666666666666666, 0.652545999144202 , 0.6524621212121212, 0.6666666666666666, 0.6333333333333333, 0.6293040293040293, 0.6266666666666666, 0.6333333333333333, 0.85              , 0.8492298399275142, 0.848962148962149 , 0.85              , 0.85              , 0.8473602963877739, 0.8494223363286264, 0.85              , 0.6833333333333333, 0.6817074398469747, 0.6804639804639804, 0.6833333333333333, 0.6666666666666666, 0.663003663003663 , 0.6608333333333334, 0.6666666666666666
2015, 0.8               , 0.7911111111111111, 0.7908346972176759, 0.8               , 0.75              , 0.7556170628459784, 0.765             , 0.75              , 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8333333333333334, 0.8300189393939393, 0.8288888888888889, 0.8333333333333334, 0.7333333333333333, 0.7375661375661375, 0.7434317501069747, 0.7333333333333333, 0.75              , 0.758309591642925 , 0.7769138755980862, 0.75
2016, 0.6833333333333333, 0.6525018994898513, 0.7013888888888888, 0.6833333333333333, 0.7333333333333333, 0.7216117216117215, 0.7391700866393068, 0.7333333333333333, 0.8166666666666667, 0.8160869981795535, 0.8159722222222221, 0.8166666666666667, 0.8333333333333334, 0.8321759259259259, 0.8329416372894634, 0.8333333333333334, 0.7               , 0.6913875598086124, 0.6976893453145058, 0.7               , 0.8               , 0.7875            , 0.8296296296296295, 0.8
2017, 0.7666666666666667, 0.7555555555555556, 0.7622222222222222, 0.7666666666666667, 0.7333333333333333, 0.7300000000000001, 0.7283697047496791, 0.7333333333333333, 0.85              , 0.8520000000000001, 0.8583333333333333, 0.85              , 0.8833333333333333, 0.8826489657301636, 0.8825000000000001, 0.8833333333333333, 0.7166666666666667, 0.7150046310589688, 0.71375           , 0.7166666666666667, 0.6833333333333333, 0.6770180436847103, 0.6742063492063493, 0.6833333333333333
2018, 0.6666666666666666, 0.6613756613756614, 0.657546739626083 , 0.6666666666666666, 0.6833333333333333, 0.6889060409591438, 0.6978070175438597, 0.6833333333333333, 0.8               , 0.8043956043956044, 0.8159811985898942, 0.8               , 0.8               , 0.8043956043956044, 0.8159811985898942, 0.8               , 0.6833333333333333, 0.6914628007651263, 0.7087962962962963, 0.6833333333333333, 0.6833333333333333, 0.6914628007651263, 0.7087962962962963, 0.6833333333333333
2019, 0.6833333333333333, 0.6654485049833887, 0.7               , 0.6833333333333333, 0.7166666666666667, 0.7006644518272426, 0.740625          , 0.7166666666666667, 0.8166666666666667, 0.816923076923077 , 0.8176339285714286, 0.8166666666666667, 0.7666666666666667, 0.7671875         , 0.7694104560622913, 0.7666666666666667, 0.7166666666666667, 0.7006644518272426, 0.740625          , 0.7166666666666667, 0.7333333333333333, 0.7205741626794259, 0.7543091655266758, 0.7333333333333333
2021, 0.6779661016949152, 0.6478761712637394, 0.6531201848998459, 0.6779661016949152, 0.6779661016949152, 0.6646634966014178, 0.6615305598356446, 0.6779661016949152, 0.847457627118644 , 0.8440983356237594, 0.845748468879077 , 0.847457627118644 , 0.8305084745762712, 0.8281668153434434, 0.8279362454641496, 0.8305084745762712, 0.711864406779661 , 0.6999620759065317, 0.6991525423728814, 0.711864406779661 , 0.6949152542372882, 0.6788918957413473, 0.6784503631961258, 0.6949152542372882
2022, 0.6666666666666666, 0.6507177033492824, 0.6757865937072505, 0.6666666666666666, 0.6666666666666666, 0.6556991774383079, 0.6700898587933248, 0.6666666666666666, 0.85              , 0.8488491048593351, 0.8520833333333333, 0.85              , 0.8333333333333334, 0.8314285714285714, 0.837250293772033 , 0.8333333333333334, 0.7166666666666667, 0.7091518507723696, 0.7224999999999999, 0.7166666666666667, 0.7166666666666667, 0.7053333333333334, 0.7297619047619047, 0.7166666666666667
2023, 0.6833333333333333, 0.6770180436847103, 0.6742063492063493, 0.6833333333333333, 0.7               , 0.6962500000000001, 0.6940949935815148, 0.7               , 0.7333333333333333, 0.7358851674641149, 0.7400705052878966, 0.7333333333333333, 0.7666666666666667, 0.7688995215311004, 0.7728554641598121, 0.7666666666666667, 0.65              , 0.6566307199067327, 0.6720588235294117, 0.65              , 0.6               , 0.6               , 0.6               , 0.6
2024, 0.6833333333333333, 0.6619884945186151, 0.6754140786749482, 0.6833333333333333, 0.7333333333333333, 0.7233333333333333, 0.7295029639762883, 0.7333333333333333, 0.8666666666666667, 0.8637362637362638, 0.8694052203679931, 0.8666666666666667, 0.8166666666666667, 0.811289492641762 , 0.8186507936507936, 0.8166666666666667, 0.75              , 0.7331488114620645, 0.7569875776397514, 0.75              , 0.7666666666666667, 0.7579166666666667, 0.7663930688554491, 0.7666666666666667
2025, 0.8166666666666667, 0.8114942528735632, 0.8111111111111112, 0.8166666666666667, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8               , 0.7964432284541724, 0.7948863636363637, 0.8               , 0.8166666666666667, 0.8070315331641901, 0.8116202945990181, 0.8166666666666667, 0.8166666666666667, 0.8203228869895537, 0.8282051282051283, 0.8166666666666667, 0.8166666666666667, 0.8180397264734613, 0.8198973042362002, 0.8166666666666667
